flow,period,value
Industry,1990,0.0163067397260274
Residential,1990,0.19853254794520545
Commercial,1990,0.13380764383561644
Electricity output in GWh,1990,2.0
Production,1990,0.35210106849315076
Total Consumption,1990,0.34864693150684933
Electricity,1990,-0.0034541369863013696
Industry,1991,0.01727068493150685
Residential,1991,0.21244950684931507
Commercial,1991,0.14290487671232877
Electricity output in GWh,1991,3.0
Production,1991,0.3778062739726027
Total Consumption,1991,0.3726250684931507
Electricity,1991,-0.005181205479452055
Industry,1992,0.018696520547945204
Residential,1992,0.2301820821917808
Commercial,1992,0.1553759178082192
Electricity output in GWh,1992,4.0
Production,1992,0.4111828767123288
Total Consumption,1992,0.404274602739726
Electricity,1992,-0.006908273972602739
Industry,1993,0.021106383561643835
Residential,1993,0.2599238082191781
Commercial,1993,0.17503638356164383
Electricity output in GWh,1993,5.0
Production,1993,0.4647019178082192
Total Consumption,1993,0.45606657534246575
Electricity,1993,-0.008635342465753424
Industry,1994,0.023496164383561644
Residential,1994,0.2872556712328767
Commercial,1994,0.1937529863013699
Electricity output in GWh,1994,10.0
Production,1994,0.5217755068493151
Total Consumption,1994,0.5045048219178082
Electricity,1994,-0.01727068493150685
Industry,1995,0.023496164383561644
Residential,1995,0.2896655342465753
Commercial,1995,0.1951788219178082
Electricity output in GWh,1995,12.0
Production,1995,0.5290653424657534
Total Consumption,1995,0.5083405205479452
Electricity,1995,-0.02072482191780822
Industry,1996,0.02636791780821918
Residential,1996,0.316997397260274
Commercial,1996,0.21341345205479453
Electricity output in GWh,1996,47.0
Production,1996,0.6379509863013699
Total Consumption,1996,0.5567787671232877
Electricity,1996,-0.08117221917808219
Industry,1997,0.028295808219178084
Residential,1997,0.3491289041095891
Commercial,1997,0.23498172602739728
Electricity output in GWh,1997,114.0
Production,1997,0.8092922465753424
Total Consumption,1997,0.6124064383561645
Electricity,1997,-0.1968858082191781
Industry,1998,0.031649534246575343
Residential,1998,1.4199916986301369
Commercial,1998,0.2642414794520548
Electricity output in GWh,1998,150.0
Production,1998,1.9749429863013697
Total Consumption,1998,1.7158827123287672
